date_facture;num_facture;compte_de_facturation;ref_acheminement;gaz_ref_pce;id_site;nom_site;code_site;entite_juridique;segment_or;adresse_site;numero_compteur;libelle_compteur;type_index;type_offre;code_imputation;type_de_tarif;id_contrat;date_de_resiliation;compte_commercial;energie;puissance_souscrite_base;puissance_souscrite_hp;puissance_souscrite_hc;puissance_souscrite_hpsb;puissance_souscrite_hcsb;puissance_souscrite_hpsh;puissance_souscrite_hcsh;puissance_souscrite_pointe;puissance_max_atteinte_base;puissance_max_atteinte_hp;puissance_max_atteinte_hc;puissance_max_atteinte_hpsb;puissance_max_atteinte_hcsb;puissance_max_atteinte_hpsh;puissance_max_atteinte_hcsh;puissance_max_atteinte_pointe;date_de_debut_de_consommation;date_de_fin_de_consommation;conso_elec_facturee_kwh;consommation_kwh_base;consommation_kwh_hp;consommation_kwh_hc;consommation_kwh_hpsb;consommation_kwh_hcsb;consommation_kwh_hpsh;consommation_kwh_hcsh;consommation_kwh_pointe;conso_ener_renouvelable_facturee_kwh;assiette_bouclier_electricite_kwh;assiette_amortisseur_electricite_kwh;abonnement_ht_euros;energie_reactive_euros;dont_montant_bouclier_electricite_euros;dont_montant_amortisseur_electricite_euros;ener_renouvelable_ht_euros;montant_htva_pointe;montant_htva_hpsh;montant_htva_hpsb;montant_htva_hcsh;montant_htva_hcsb;montant_htva_base;montant_htva_hp;montant_htva_hc;total_fourniture_elec_ht_euros;prix_moyen_ht_euros_par_mwh;prix_bouclier_electricite_euros_par_mwh;prix_amortisseur_electricite_euros_par_mwh;services_ht_euros;mecanisme_de_capacite_ht_euros;montant_ht_reseau_distrib_euros;tarif_acheminement;cee_ht_euros;prix_unitaire_cee_euro_par_mwh;composante_de_soutirage_variable;composante_de_comptage_reprise_euros;composante_de_comptage_echu_euros;composante_de_comptage_echoir_euros;composante_de_gestion_reprise_euros;composante_de_gestion_echu_euros;composante_de_gestion_echoir_euros;composante_de_soutirage_fixe_reprise_euros;composante_de_soutirage_fixe_echu_euros;composante_de_soutirage_fixe_echoir_euros;comp_de_regroupement_souterrain_reprise_euros_ht;comp_de_regroupement_souterrain_echu_euros_ht;comp_de_regroupement_souterrain_echoir_euros_ht;comp_d_alimentation_secours_souterrain_reprise_euros_ht;comp_d_alimentation_secours_souterrain_echu_euros_ht;comp_d_alimentation_secours_souterrain_echoir_euros_ht;comp_d_alimentation_secours_reservation_reprise_euros_ht;comp_d_alimentation_secours_reservation_echu_euros_ht;comp_d_alimentation_secours_reservation_echoir_euros_ht;gaz_abonnement_transport_euros;gaz_abonnement_distribution_euros;gaz_abonnement_transport_et_distrib_euros;gaz_consommation_annuelle_de_reference;gaz_conso_facturee_kwh;biomethane_montant_facturable;gaz_capacite_journaliere_souscrite;prix_unitaire_capacite_euro_par_mwh;gaz_depassement_de_capacite_journaliere;gaz_util_reseau_euros;depassement_euros;terme_de_quantite_distrib_gaz_euros;gaz_montant_depassement_capacite_journaliere_euros;montant_prestations_techniques;montant_depassement_capacite_horaire;charge_occasionnelle_abonnement_euros;charge_occasionnelle_autre_facturation_euros;charge_occasionnelle_fourniture_euros;charge_occasionnelle_util_reseau_distrib_euros;total_ht_euros;contrib_tarifaire_achem_elec_euros;contrib_tarifaire_achem_gaz_euros;taxe_cfe_euros;contrib_serv_public_electricite_euros;taxe_dcfe_euros;taxe_ccfe_euros;taxe_icgn_euros;contrib_tssg_euros;taxe_charge_occasionnelle_euros;total_htva_euros;tva_taux_normal_euros;tva_taux_reduit_euros;tva_totale_euros;montant_total_ttc_euros;gaz_premiere_mise_en_service_euros;premiere_mise_en_service_euros;type_compteur;groupe_annexe_personnalisee;code_service_executant;engagement_juridique;prix_unitaire_cspe_euro_par_mwh;cta_taux;fta;numero_facture_annulee;tangente_phi;pourcentage_energie_renouvelable;siren_site;info_personnalisee_1;info_personnalisee_2;regularisation_montant_amortisseur_electricite_2023;regularisation_montant_bouclier_electricite_2023
2024-02-02;10192135843;8963989479;30002420596745;;1-DH-426-S;POMPAGE_PDT_ARGELES;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"PONT DU TECH;66700 ARGELES SUR MER";041336002802;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578024;E;0;0;0;66;66;6;6;0;0;0;0;0;0;3;2;2;2023-12-18;2024-02-02;805;0;0;0;0;0;798;7;0;;;-4446;15.24;;;87.39;;0.00;-67.74;0.00;-127.19;0.00;0.00;0.00;0.00;-194.93;0.60;;-19.70;;-35.92;131.57;BTSUPLU4-Tarif BT sup 36kVA Longue Utilisation;1.48;;;-20.97;21.67;20.97;-16.38;16.92;16.38;-78.18;80.79;78.18;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;26.18;;;15.18;;;;;;46.19;9.26;;9.26;55.45;0.00;;PME-PMI;EAU;REGIE;;2.20;21.93;BTSUPLU4;;;0;200043602;;;;
2024-02-02;10192135843;8963989479;30002420746053;;1-1KC6TJ-S;GRAND_BOSC;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"260  CHEMIN DE SAINT MARTIN;BOSC;66200 ELNE";031336155129;PME-PMI;Relevé;NO;;;2010006805038;;3020000578024;E;0;0;0;110;110;110;110;0;0;0;0;0;0;83;83;0;2023-12-18;2024-02-02;11156;0;0;0;0;0;8139;3017;0;;;1578;15.24;;;-35.44;;0.00;1998.80;0.00;352.84;0.00;0.00;0.00;0.00;2351.64;28.98;;-22.50;;153.11;727.44;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;20.52;;;-20.97;21.67;20.97;-16.38;16.92;16.38;-132.26;136.67;132.26;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;38.43;;;21.78;;;;;;3292.72;658.55;;658.55;3951.27;0.00;;PME-PMI;;REGIE;;2.20;21.93;BTSUPCU4;;;0;200043602;;;;
2024-07-09;10203995005;2911966897;30002420008184;;1-7X97CZ-S;PR_HELIPORT;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"STATION REFOUL PEYREFITE HELICO;66650 BANYULS SUR MER";031536333369;PME-PMI;Relevé;NO;;;2010006805038;;3020000578046;E;0;0;0;42;42;42;42;0;0;0;0;1;1;0;0;0;2024-05-18;2024-07-02;0;0;0;0;1;-1;0;0;0;;;;15.24;;;;;0.00;0.00;0.13;0.00;-0.08;0.00;0.00;0.00;0.05;;;;;0.01;87.87;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;0.00;;;-20.97;20.97;20.97;-16.38;16.38;16.38;-50.50;50.50;50.50;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;19.27;;;0.00;;;;;;122.44;24.47;;24.47;146.91;0.00;;PME-PMI;;REGIE;;2.10;21.93;BTSUPCU4;;;0;200043602;;;;
2024-04-02;10196560366;2911966897;50024891417820;;1-K0ZBBA-S;PR_CERBERE_PORT;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"Port Cerbere;POSTE RELEVAGE;66290 CERBERE";031336155109;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578046;E;0;0;0;72;72;72;72;0;0;0;0;0;0;39;38;0;2024-02-16;2024-04-02;1574;0;0;0;86;22;1048;418;0;;;;15.24;;;;;0.00;251.44;11.00;43.46;1.63;0.00;0.00;0.00;307.53;35.25;;;;18.08;211.05;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;2.89;;;-20.97;21.67;20.97;-16.38;16.92;16.38;-86.57;89.46;86.57;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;28.08;;;33.06;;;;;;615.93;123.21;;123.21;739.14;0.00;;PME-PMI;;REGIE;;2.10;21.93;BTSUPCU4;;;0;200043602;;;;
2024-07-09;10203995005;2911966897;30002420332845;;1-7X5WJI-S;PR LA ROCASSE;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"PLACE ST VINCENT;POSTE RELEVAGE;66190 COLLIOURE";031536331954;PME-PMI;Relevé;NO;;;2010006805038;;3020000578046;E;0;0;0;84;84;48;48;0;0;0;0;39;39;0;0;0;2024-05-18;2024-07-02;4340;0;0;0;3601;739;0;0;0;;;;15.24;;;;;0.00;0.00;460.56;0.00;54.81;0.00;0.00;0.00;515.37;17.73;;;;-19.63;250.53;BTSUPLU4-Tarif BT sup 36kVA Longue Utilisation;7.98;;;-20.97;20.97;20.97;-16.38;16.38;16.38;-136.26;136.26;136.26;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;38.07;;;91.14;;;;;;898.70;179.73;;179.73;1078.43;0.00;;PME-PMI;;REGIE;;2.10;21.93;BTSUPLU4;;;0;200043602;;;;
2024-07-09;10203995005;2911966897;30002420718048;;1-H9TMTA-S;STEP_ELNE;23932661501020401;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"41 CHEMIN DE CHARLEMAGNE;RELEVAGE STATION EPURATION;66200 ELNE";031336152741;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578046;E;0;0;0;148;148;145;145;0;0;0;0;129;129;0;0;0;2024-05-18;2024-07-02;54069;0;0;0;37073;16996;0;0;0;;;;15.24;;;;;0.00;0.00;4741.64;0.00;1260.60;0.00;0.00;0.00;6002.24;13.33;;;;-267.01;1354.49;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;99.48;;;-20.97;20.97;20.97;-16.38;16.38;16.38;-176.96;176.96;176.96;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;47.00;;;1135.45;;;;;;8386.89;1677.38;;1677.38;10064.27;0.00;;PME-PMI;;REGIE;;2.10;21.93;BTSUPCU4;;;0;200043602;;;;
2024-02-08;10192592913;6366003111;24203907344437;;2050006333151;POSTE RELEVAGE;19356661501020006;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"AVENUE GENERAL DE GAULLE;A COTE POSTE RUE G BRASSENS;66200 ELNE";421;Compteur Linky;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578037;E;6;6;6;6;6;6;6;6;;0;0;0;0;0;0;0;2023-12-08;2024-01-07;84;84;0;0;0;0;0;0;0;;;84;2.87;;;-4.86;;0.00;0.00;0.00;0.00;0.00;25.18;0.00;0.00;25.18;42.70;;-57.90;;0.64;11.73;BTINFCUST-Tarif BT inf 36kVA Courte Utilisation sans différenciation temporelle;0.31;;3.67;;1.69;;;;1.31;;;5.06;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;1.77;;;0.08;;;;;;37.72;5.00;0.70;5.70;43.42;0.00;;CCB;;REGIE;;0.10;21.93;BTINFCUST;;;0;200043602;;;;
2024-02-02;10192135843;8963989479;50037728667929;;1-8ASPVKT-S;RESERVOIR_ST_GENIS;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"RELEVAGE;CHATEAU D EAU;66740 ST GENIS DES FONTAINES";041636056906;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578024;E;0;0;0;240;240;240;240;0;0;0;0;0;0;184;172;0;2023-12-18;2024-02-02;31915;0;0;0;0;0;22450;9465;0;;;702;15.24;;;-16.73;;0.00;5315.22;0.00;964.95;0.00;0.00;0.00;0.00;6280.17;27.14;;-23.80;;384.99;1937.77;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;58.73;;;-20.97;21.67;20.97;-16.38;16.92;16.38;-288.58;298.20;288.58;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;73.86;;;72.39;;;;;;8806.42;1761.29;;1761.29;10567.71;0.00;;PME-PMI;;REGIE;;2.20;21.93;BTSUPCU4;;;0;200043602;;;;
2024-07-09;10203995005;2911966897;50017221369662;;1-CYVDRQ-S;STEP_PALAU;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C4;"CHEMIN SAINTE COLOMBE;STATION EPURATION;66690 PALAU DEL VIDRE";031236110508;PME-PMI;Relevé;NO;F0:Services Généraux;;2010006805038;;3020000578046;E;0;0;0;66;66;66;66;0;0;0;0;60;51;0;0;0;2024-05-18;2024-07-02;14046;0;0;0;9673;4373;0;0;0;;;;15.24;;;;;0.00;0.00;1237.17;0.00;324.35;0.00;0.00;0.00;1561.52;13.95;;;;-69.24;426.07;BTSUPCU4-Tarif BT sup 36kVA Courte Utilisation;25.85;;;-20.97;20.97;20.97;-16.38;16.38;16.38;-79.36;79.36;79.36;;;;;;;;;;;;;;;;;;;;0;;;0.00;;;;;;;25.59;;;294.97;;;;;;2280.00;456.01;;456.01;2736.01;0.00;;PME-PMI;;REGIE;;2.10;21.93;BTSUPCU4;;;0;200043602;;;;
2024-03-16;10195423872;0258401078;24299565822486;;2050006333117;RELEVAGE EPURATION ASLIV;;CC DES ALBERES, DE LA COTE VERMEILLE ET DE L'ILLIBERIS;C5;"RUE DE LA FARGUE;66690 SOREDE";295;Compteur Linky;Relevé;NO;F8:Aménagement/service urbain;;2010006805038;;3020000578025;E;18;18;18;18;18;18;18;18;;0;0;0;0;0;0;0;2024-01-27;2024-02-26;145;145;0;0;0;0;0;0;0;;;145;2.87;;;-0.39;;0.00;0.00;0.00;0.00;0.00;35.56;0.00;0.00;35.56;43.18;;-2.70;;0.68;23.36;BTINFCUST-Tarif BT inf 36kVA Courte Utilisation sans différenciation temporelle;0.53;;6.34;;1.58;;;;1.23;;;14.21;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;3.73;;;2.58;;;;;;68.92;9.07;1.31;10.38;79.30;0.00;;CCB;ASSAINISSEMENT;REGIE;;2.20;21.93;BTINFCUST;;;0;200043602;;;;
